id_pelicula,popularity,release_date,revenue,runtime,title,vote_average,vote_count,tags
710,14.686036,1995-11-16,352194034.0,130.0,GoldenEye,6.6,1194.0,Adventure Action Thriller English Pусский Español UnitedArtists EonProductions PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen JoeDonBaker JudiDench GottfriedJohn RobbieColtrane AlanCumming TchékyKaryo DesmondLlewelyn SamanthaBond MichaelKitchen SerenaGordon SimonKunz BillyJ.Mitchell ConstantineGregory MinnieDriver MichelleArthur RavilIsyanov MartinCampbell
10634,14.56965,1995-04-26,28215918.0,91.0,Friday,7.0,513.0,Comedy English NewLineCinema IceCube ChrisTucker NiaLong TomListerJr. JohnWitherspoon AnnaMariaHorsford ReginaKing PaulaJaiParker FaizonLove DJPooh TonyCox AnthonyJohnson BernieMac MeaganGood TerriJ.Vaughn F.GaryGray ReynaldoRey MichaelClarkeDuncan F.GaryGray
755,15.339153,1996-01-19,25836616.0,108.0,From Dusk Till Dawn,6.9,1644.0,Horror Action Thriller Crime English Español ABandApart DimensionFilms LosHooligansProductions Miramax GeorgeClooney QuentinTarantino HarveyKeitel JulietteLewis ErnestLiu SalmaHayek CheechMarin DannyTrejo TomSavini FredWilliamson MichaelParks BrendaHillhouse JohnSaxon MarcLawrence KellyPreston JohnHawkes TitoLarriva PeterAtanasoff JohnnyVatosHernandez AimeeGraham HeidiMcNeal ErnestM.Garcia GregoryNicotero Cristos MikeMoroff TiaTexada JanineJordae UngelaBrockman MichelleBerube MichaelMcKay JakeMcKinnon WalterPhelan WayneToth RobertRodriguez
5894,11.528147,1995-09-15,1275000.0,83.0,Blue in the Face,6.8,28.0,Comedy English MiramaxFilms InterAL HarveyKeitel LouReed MichaelJ.Fox RoseanneBarr LilyTomlin GiancarloEsposito JoséZúñiga Madonna MiraSorvino KeithDavid VictorArgo JimJarmusch JaredHarris MelGorham MalikYoba JohnLurie StephenGevedon SharifRashed PeggyGormley RuPaul PaulAuster WayneWang
9070,7.024227,1995-06-30,66000000.0,92.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0,Action Adventure ScienceFiction Family Fantasy English TwentiethCenturyFoxFilmCorporation SabanEntertainment ToeiCompany AmyJoJohnson JasonDavidFrank DavidYost JohnnyYongBosch SteveCardenas KaranAshley PaulSchrier JasonNarvy PaulFreeman GabrielleFitzpatrick JamieCroft PeterMochrie BryanSpicer
2292,10.513367,1994-09-13,3151130.0,92.0,Clerks,7.4,769.0,Comedy English MiramaxFilms ViewAskewProductions BrianO'Halloran JeffAnderson JasonMewes KevinSmith LisaSpoonhauer MarilynGhigliotti ScottMosier WaltFlanagan ScottSchiaffo DavidKlein EdHapstak PattijeanCsik JohnHenryWesthead KimberlyLoughran GraceSmith KevinSmith
11,42.149697,1977-05-25,775398007.0,121.0,Star Wars,8.1,6778.0,Adventure Action ScienceFiction English Lucasfilm TwentiethCenturyFoxFilmCorporation MarkHamill HarrisonFord CarrieFisher PeterCushing AlecGuinness AnthonyDaniels KennyBaker PeterMayhew DavidProwse JamesEarlJones PhilBrown ShelaghFraser JackPurvis EddieByrne DenisLawson GarrickHagon DonHenderson LeslieSchofield RichardLeParmentier MichaelLeader AlexMcCrindle DreweHenley JackKlaff WilliamHootkins AngusMacInnes JeremySinden GrahamAshley DavidAnkrum MarkAustin ScottBeach LightningBear JonBerg DougBeswick PaulBlake JaniceBurchette TedBurnett JohnChapman GildaCohen TimCondren BarryCopping AlfieCurtis RobertDavies MariaDeAragon RobertA.Denham FrazerDiamond PeterDiamond WarwickDiamond SadieEden KimFalkinburg HarryFielder TedGagliano SaloGardner SteveGawley BarryGnome RustyGoffe IsaacGrand NelsonHall RegHarding AlanHarris FrankHenson ChristineHewett ArthurHowell TommyIlsley JoeJohnston AnnetteJones LindaJones JoeKaye ColinMichaelKitchens MelissaKurtz TiffanyL.Kurtz AlLampert AnthonyLang LaineLiska DerekLyons Mahjoub AlfMangan RickMcCallum GrantMcCune GeoffreyMoon MandyMorton LornePeterson MarcusPowell ShaneRimmer PamRose GeorgeRoubicek EricaSimmons AngelaStaines GeorgeStock RoyStraite PeterSturgeon PeterSumner JohnSylla TomSylla MalcolmTierney PhilTippett BurnellTucker MorganUpton JerryWalter HalWamsley LarryWard DianaSadleyWay HaroldWeed BillWeston Steve'Spaz'Williams FredWood ColinHiggins GeorgeLucas
22586,8.910462,1994-11-18,9771658.0,89.0,The Swan Princess,6.5,251.0,Animation English RichAnimationStudios MichelleNicastro JackPalance HowardMcGillin JohnCleese StevenWright SteveVinovich MarkHarelik JamesArrington JoelMcKinnonMiller DakinMatthews SandyDuncan BrianNissen AdamWylie RichardRich
8587,21.605761,1994-06-23,788241776.0,89.0,The Lion King,8.0,5520.0,Family Animation Drama English WaltDisneyPictures WaltDisneyFeatureAnimation JonathanTaylorThomas MatthewBroderick JamesEarlJones JeremyIrons MoiraKelly NiketaCalame ErnieSabella NathanLane RobertGuillaume RowanAtkinson WhoopiGoldberg CheechMarin JimCummings MadgeSinclair JosephWilliams JasonWeaver SallyDworsky LauraWilliams ZoeLeader FrankWelker JudiM.Durand DaamenJ.Krall DavidMcCharen MaryLindaPhillips PhilProctor DavidJ.Randolph EvanSaucedo BrianTochi RogerAllers RobMinkoff
329,8.863776,1993-06-11,920100000.0,127.0,Jurassic Park,7.6,4956.0,Adventure ScienceFiction English Español UniversalPictures AmblinEntertainment SamNeill LauraDern JeffGoldblum RichardAttenborough BobPeck MartinFerrero BDWong JosephMazzello ArianaRichards SamuelL.Jackson WayneKnight GeraldR.Molen MiguelSandoval CameronThor ChristopherJohnFields WhitHertford DeanCundey JopheryC.Brown TomMishler GregBurson AdrianEscober RichardKiley BradM.Bucklin LauraBurnett GaryRodriguez BrianSmrz Robert'BobbyZ'Zajonc StevenSpielberg
78,96.272374,1982-06-25,33139618.0,117.0,Blade Runner,7.9,3833.0,ScienceFiction Drama Thriller English Deutsch 广州话/廣州話 日本語 Magyar ShawBrothers WarnerBros. TheLaddCompany HarrisonFord RutgerHauer SeanYoung EdwardJamesOlmos M.EmmetWalsh DarylHannah WilliamSanderson BrionJames JoeTurkel JoannaCassidy JamesHong MorganPaull KevinThompson JohnEdwardAllen HyPyke KimikoHiroshige BobOkazaki CarolynDeMirjian BenAstar JudithBurnett LeoGorceyJr. DawnaLeeHeising SharonHesky KellyHine TomHutchinson CharlesKnapp RoseMascari JirôOkazaki StevePope RobertReiter AlexisRhee RidleyScott
771,0.702543,1990-11-09,476684675.0,103.0,Home Alone,7.1,2487.0,Comedy Family English TwentiethCenturyFoxFilmCorporation HughesEntertainment MacaulayCulkin JoePesci DanielStern JohnHeard CatherineO'Hara RobertsBlossom DevinRatray MichaelC.Maronna HillaryWolf AngelaGoethals GerryBamman TerrieSnell JedidiahCohen SentaMoses DaianaCampeanu KieranCulkin AnnaSlotky KristinMinter JohnCandy RalphFoody LarryHankin KenHudsonCampbell HopeDavis BillieBird BillErwin JeffreyWiseman VirginiaSmith RayToler ClarkeDevereux DanCharlesZukoski MattDoherty ChrisColumbus
812,16.357419,1992-11-25,504050219.0,90.0,Aladdin,7.4,3495.0,Animation Family Comedy Adventure Fantasy Romance English WaltDisneyPictures ScottWeinger RobinWilliams LindaLarkin JonathanFreeman FrankWelker GilbertGottfried DouglasSeale CharlieAdler CoreyBurton JimCummings JackAngel PhilipL.Clarke JenniferDarling JerryHouser SherryLynn MickieMcGowan PatrickPinney PhilProctor DebiDerryberry VeraLockwood BruceAdler BradKane LeaSalonga HalSmith RonClements JohnMusker
10020,23.433511,1991-11-13,377350553.0,84.0,Beauty and the Beast,7.5,3029.0,Romance Family Animation Fantasy Music Français English WaltDisneyPictures WaltDisneyAnimationStudios SilverScreenPartnersIV PaigeO'Hara RobbyBenson RichardWhite JerryOrbach DavidOgdenStiers AngelaLansbury RexEverhart JesseCorti BradleyPierce HalSmith JoAnneWorley MaryKayBergman KathSoucie AlvinEpstein TonyJay BrianCummings AlecMurphy KimmyRobertson FrankWelker AlexMurphy DavidOgdenStiers GaryTrousdale KirkWise
954,15.793477,1996-05-22,457696359.0,110.0,Mission: Impossible,6.7,2677.0,Adventure Action Thriller English Français Český ParamountPictures Cruise/WagnerProductions TomCruise JonVoight EmmanuelleBéart HenryCzerny JeanReno VingRhames KristinScottThomas VanessaRedgrave DaleDye MarcelIureș IonCaramitru IngeborgaDapkunaite ValentinaYakunina MarekVašut NathanOsgood EmilioEstevez MichaelRogers KeithCampbell JohnMcLaughlin KarelDobrý AndreasWisniewski RiccoRoss MarkHoughton AnnabelMullion GarrickHagon OlegarFedoro DavidSchneider HelenLindsay JohnKnoll RolfSaxon BrianDePalma
532,6.796858,1995-12-24,0.0,30.0,A Close Shave,7.5,223.0,Family Animation Comedy English AardmanAnimations PeterSallis AnneReid NickPark
